Index,City,State,Date,avgHigh (F),avgLow (F),avgUV,totalSun (hrs),avgSun (hrs),totalSnow (cm),avgSnow (cm),totalRainfall (in), avgRainfall (in),humidity %,pressure (mb),windSpeed (mph)
210,New Haven,Connecticut,2017/10,64.52,56.19,0,255.6,8.25,0,0,7.89,0.25,78.26,1019,13.84
210,New Haven,Connecticut,2017/11,47.2,39.23,0,196.7,6.56,0,0,1.83,0.06,76.73,1019.53,14.4
210,New Haven,Connecticut,2017/12,34.13,28.39,0,185.2,5.97,18.5,0.6,2.57,0.08,71.06,1017.84,14.39
210,New Haven,Connecticut,2018/1,32.74,22.65,0,218.7,7.05,23.9,0.77,5.7,0.18,65.06,1021.29,16.29
210,New Haven,Connecticut,2018/2,40.93,32.86,0,224,8,31.9,1.14,10.55,0.38,71.96,1023.29,13.96
210,New Haven,Connecticut,2018/3,42.06,31.81,0,251.1,8.1,57.5,1.85,8.28,0.27,66,1013.42,16.9
210,New Haven,Connecticut,2018/4,49.9,40.73,0,282.1,9.4,11,0.37,6.37,0.21,65.5,1015.17,14.63
210,New Haven,Connecticut,2018/5,66.68,57.97,0,386.2,12.46,0,0,5.99,0.19,71.55,1016.97,12.1
210,New Haven,Connecticut,2018/6,73.27,63.9,0,386.2,12.87,0,0,3.49,0.12,71.13,1013.4,11.07
211,Stamford,Connecticut,2017/6,75.23,65.53,0,398.3,13.28,0,0,4.56,0.15,68,1013.3,12.1
211,Stamford,Connecticut,2017/7,86.39,73.42,0,415.1,13.39,0,0,4.89,0.16,70.42,1014.74,9.9
211,Stamford,Connecticut,2017/8,83.71,72.06,0,352.9,11.38,0,0,3.37,0.11,68.03,1016.71,10.9
211,Stamford,Connecticut,2017/9,73.2,62.7,0,284.9,9.5,0,0,2.02,0.07,77.2,1016.2,11.9
211,Stamford,Connecticut,2017/10,65.71,56.71,0,259.9,8.38,0,0,5.42,0.17,76.87,1019,13.58
211,Stamford,Connecticut,2017/11,47.77,39.6,0,196.8,6.56,0,0,1.72,0.06,75.93,1019.7,14.03
211,Stamford,Connecticut,2017/12,34.68,29.23,0,183.4,5.92,12.5,0.4,2.24,0.07,73.29,1018.03,14.32
211,Stamford,Connecticut,2018/1,33.65,22.35,0,222.8,7.19,3.9,0.13,4.53,0.15,64.19,1022.03,15.61
211,Stamford,Connecticut,2018/2,42.29,34.11,0,219.1,7.83,36.1,1.29,11.02,0.39,71.61,1023.29,13.64
211,Stamford,Connecticut,2018/3,41.35,31.94,0,257.1,8.29,80.1,2.58,7.47,0.24,65.71,1014.16,16.55
211,Stamford,Connecticut,2018/4,50.27,41.2,0,285.3,9.51,11,0.37,6.14,0.2,64.8,1014.97,14.77
211,Stamford,Connecticut,2018/5,68.52,57.97,0,382.3,12.33,0,0,6.28,0.2,70.48,1017.06,12.45
211,Stamford,Connecticut,2018/6,74.6,64.5,0,380,12.67,0,0,4.12,0.14,68.97,1013.73,11.57
212,Elizabeth,New Jersey,2017/6,78.47,66.4,0,400.3,13.34,0,0,4.9,0.16,61.33,1013.47,14.33
212,Elizabeth,New Jersey,2017/7,88.03,77.19,0,419.1,13.52,0,0,5.05,0.16,67.45,1014.74,10.35
212,Elizabeth,New Jersey,2017/8,87.77,74.74,0,345.1,11.13,0,0,3.22,0.1,64.1,1016.74,9.1
212,Elizabeth,New Jersey,2017/9,76.93,63.9,0,286.8,9.56,0,0,1.22,0.04,74.53,1016.33,9.2
212,Elizabeth,New Jersey,2017/10,69.23,57.94,0,264.4,8.53,0,0,5.7,0.18,73.16,1019.1,10.61
212,Elizabeth,New Jersey,2017/11,49.47,39.53,0,199.9,6.66,0,0,1.58,0.05,78.5,1019.93,10.83
212,Elizabeth,New Jersey,2017/12,35.84,29.23,0,173,5.58,12.3,0.4,1.67,0.05,74.68,1018.45,10.94
212,Elizabeth,New Jersey,2018/1,36.13,25,0,228.5,7.37,6.8,0.22,2.9,0.09,60.35,1022.39,12.1
212,Elizabeth,New Jersey,2018/2,46.39,36.11,0,221.4,7.91,0.2,0.01,10.53,0.38,67.39,1023.43,10.82
212,Elizabeth,New Jersey,2018/3,43.48,32.45,0,256.8,8.28,74,2.39,7.03,0.23,61.1,1014.77,13.65
212,Elizabeth,New Jersey,2018/4,53.13,42.17,0,275.7,9.19,14.3,0.48,5.96,0.2,58.5,1015.57,12.27
212,Elizabeth,New Jersey,2018/5,71.97,59.71,0,375.2,12.1,0,0,4.43,0.14,66.23,1017.29,9.65
212,Elizabeth,New Jersey,2018/6,77.2,65.63,0,377.6,12.59,0,0,3.7,0.12,62.8,1013.73,9
213,Concord,California,2017/6,83.93,62.3,0,421.6,14.05,0,0,0.19,0.01,56.57,1012.4,12.63
213,Concord,California,2017/7,91.19,66.48,0,410.6,13.25,0,0,0,0,54.45,1013.45,10.23
213,Concord,California,2017/8,85.58,64.65,0,338,10.9,0,0,0.07,0,63.29,1012.13,10.81
213,Concord,California,2017/9,80.7,62.27,0,317.5,10.58,0,0,0,0,59.93,1012.13,7.67
213,Concord,California,2017/10,75.77,55.42,0,326.7,10.54,0,0,0.19,0.01,51.55,1015.35,6.32
213,Concord,California,2017/11,60.43,50.47,0,200.5,6.68,0,0,2,0.07,77.67,1018.1,6.27
213,Concord,California,2017/12,56.87,42.77,0,233.4,7.53,0,0,0,0,62.19,1022.58,6.58
213,Concord,California,2018/1,57.26,44.19,0,255.7,8.25,0,0,2.36,0.08,84.13,1021.42,5.9
213,Concord,California,2018/2,63.18,44.46,0,284.9,10.18,0,0,0.61,0.02,58.61,1020.07,7.32
213,Concord,California,2018/3,62,45.13,0,294.9,9.51,0,0,2.94,0.09,69.77,1017.84,8.87
213,Concord,California,2018/4,68.77,51.77,0,320,10.67,0,0,2.56,0.09,64.77,1017.47,8.43
213,Concord,California,2018/5,73.68,58,0,401,12.94,0,0,0.02,0,61.61,1014.29,9.71
213,Concord,California,2018/6,82.9,62.03,0,434,14.47,0,0,0,0,52.4,1011.13,10.4
214,Thousand Oaks,California,2017/6,79.03,65.87,0,431.8,14.39,0,0,0.06,0,62.13,1011.03,6.9
214,Thousand Oaks,California,2017/7,89.81,79.71,0,425.3,13.72,0,0,0.11,0,61.35,1013.23,6.19
214,Thousand Oaks,California,2017/8,85.77,74.97,0,350.8,11.32,0,0,1.03,0.03,65.9,1012.03,5.48
214,Thousand Oaks,California,2017/9,81.03,66.77,0,330.6,11.02,0,0,0.12,0,59.9,1011.43,6.2
214,Thousand Oaks,California,2017/10,82.06,61.58,0,341.1,11,0,0,0,0,40.81,1012.9,8.55
214,Thousand Oaks,California,2017/11,71.57,55.1,0,237.1,7.9,0,0,0,0,55.9,1016.67,6.6
214,Thousand Oaks,California,2017/12,69.23,48.03,0,254.6,8.21,0,0,0,0,31.1,1019.68,12.16
214,Thousand Oaks,California,2018/1,66.39,51.19,0,295.2,9.52,0,0,3.69,0.12,55.77,1019.55,9.32
214,Thousand Oaks,California,2018/2,64.25,48.79,0,300.6,10.74,0,0,0.15,0.01,50.18,1017.96,8
214,Thousand Oaks,California,2018/3,61.03,48.77,0,295.6,9.54,0,0,5.8,0.19,66.81,1017.68,7.45
214,Thousand Oaks,California,2018/4,67.83,55,0,343,11.43,0,0,0.06,0,59.8,1015.7,7.57
214,Thousand Oaks,California,2018/5,66.97,57.26,0,392.7,12.67,0,0,0.17,0.01,70.9,1013.9,6.23
214,Thousand Oaks,California,2018/6,74.17,63.2,0,428.6,14.29,0,0,0.06,0,64.1,1011.23,5.63
215,Kent,Washington,2017/6,71,57.2,0,444.7,14.82,0,0,2.04,0.07,66.93,1016.4,6.7
215,Kent,Washington,2017/7,86.84,63.32,0,463.6,14.95,0,0,0.16,0.01,65.52,1018.19,5.13
215,Kent,Washington,2017/8,87.03,68.55,0,371.4,11.98,0,0,0.44,0.01,62.06,1016.1,5
215,Kent,Washington,2017/9,72.53,58.63,0,291.7,9.72,0,0,0.8,0.03,65.83,1014.97,5.8
215,Kent,Washington,2017/10,59.26,48.32,0,259.3,8.36,0,0,5.94,0.19,73.26,1018.9,7.77
215,Kent,Washington,2017/11,47.1,42.07,0,116.2,3.87,30,1,6.46,0.22,80.87,1012.8,10
215,Kent,Washington,2017/12,42.32,36.03,0,161.7,5.22,0,0,4.46,0.14,82.42,1024.65,6.35
215,Kent,Washington,2018/1,47.06,40,0,147.9,4.77,0,0,14.8,0.48,86.29,1016.68,9.55
215,Kent,Washington,2018/2,45.86,37.96,0,192.5,6.87,6.2,0.22,6,0.21,77.86,1022.04,9.71
215,Kent,Washington,2018/3,51.45,40.42,0,265.7,8.57,0,0,5.71,0.18,73.58,1016.39,7.39
215,Kent,Washington,2018/4,56.7,46.43,0,265.7,8.86,0,0,11.68,0.39,72.77,1015.57,8.73
215,Kent,Washington,2018/5,69.16,55,0,392,12.65,0,0,1.55,0.05,68.06,1016.9,5.42
215,Kent,Washington,2018/6,70.2,57.63,0,438.6,14.62,0,0,1.94,0.06,64.33,1017.13,6.43
216,Santa Clara,California,2017/6,77.43,61.1,0,425.7,14.19,0,0,0.06,0,62.87,1013.13,8.3
216,Santa Clara,California,2017/7,94.58,72.65,0,405.8,13.09,0,0,0,0,48.48,1013.68,6.71
216,Santa Clara,California,2017/8,90.45,70.9,0,350,11.29,0,0,0.19,0.01,56.39,1012.71,5.52
216,Santa Clara,California,2017/9,79.83,64.77,0,307,10.23,0,0,0,0,57.07,1012.67,5.43
216,Santa Clara,California,2017/10,75.06,57.9,0,325.5,10.5,0,0,0.17,0.01,50.29,1015.52,5.61
216,Santa Clara,California,2017/11,61.57,51.47,0,218.5,7.28,0,0,2.03,0.07,73.9,1018.27,5.93
216,Santa Clara,California,2017/12,60.55,45.94,0,251.1,8.1,0,0,0.07,0,54.65,1022.06,5.71
216,Santa Clara,California,2018/1,59.61,46.45,0,272.1,8.78,0,0,3.68,0.12,81.16,1021.16,5.65
216,Santa Clara,California,2018/2,63.07,46.57,0,282.1,10.08,0,0,0.65,0.02,58.54,1020.14,6.43
216,Santa Clara,California,2018/3,61.65,47.52,0,290.7,9.38,0,0,4.9,0.16,67.26,1017.97,6.97
216,Santa Clara,California,2018/4,67.5,51.9,0,326.5,10.88,0,0,2.67,0.09,64.9,1018.03,6.8
216,Santa Clara,California,2018/5,70.97,55.63,0,392.8,12.67,0,0,0.15,0.01,63.53,1015.07,7.13
216,Santa Clara,California,2018/6,76.97,59.87,0,434,14.47,0,0,0,0,58.57,1012.47,7.73
